ID,val1,val2,val3
001,0.227037,0.09039,0.605506
002,0.152836,0.18045,0.248007
003,0.227675,0.204189,0.407757
004,0.223991,0.38345,0.369305
005,0.184088,0.199429,0.30856
006,0.247594,0.290237,0.373757
007,0.29367,0.262,0.356102
008,0.303646,0.326049,0.247575
009,0.215399,0.182434,0.16311
010,0.125353,0.124982,0.190836
011,0.237976,0.210654,0.24974
012,0.171243,0.129249,0.285992
013,0.246694,0.269287,0.398093
014,0.254736,0.266501,0.369771
015,0.122889,0.058958,0.288953
016,0.253914,0.275762,0.333056
017,0.132448,0.076564,0.218553
018,0.230924,0.179333,0.261003
019,0.220138,0.184829,0.277739
020,0,0,0.135602
021,0.299971,0.421437,0.227039
022,0.153349,0.100591,0.260377
023,0.099849,0.126662,0.191442
024,0.254514,0.253794,0.264628
025,0.537436,0.458619,1
026,0.271545,0.249059,0.341135
027,0.221268,0.157311,0.40424
028,0.208046,0.199516,0.481527
029,0.112608,0.170722,0.243503
030,0.31394,0.504401,0.25586
031,0.257466,0.258712,0.433051
032,0.176561,0.178237,0.21642
033,0.31591,0.341515,0.427955
034,0.181907,0.240797,0.307854
035,0.166709,0.074195,0.294765
036,0.325491,0.334482,0.422213
037,0.196181,0.251556,0.287945
038,0.177592,0.158748,0.293383
039,0.122659,0.107763,0.274064
040,0.170009,0.023527,0.282909
041,0.20045,0.238363,0.203903
042,0.146464,0.280364,0.247467
043,0.227721,0.274809,0.365386
044,0.206493,0.124686,0.469462
045,0.074306,0.089964,0.071831
046,0.16961,0.128739,0.361405
047,0.30325,0.274663,0.245764
048,0.229344,0.11721,0.23152
049,0.22405,0.209741,0.286732
050,0.285258,0.15224,0.236471
051,0.163756,0.125881,0.294983
052,0.448197,0.418232,0.503564
053,0.179041,0.15722,0.333443
054,0.270143,0.222384,0.441953
055,0.293794,0.159698,0.448143
056,0.141161,0.179004,0.179045
057,0.23947,0.208752,0.291441
058,0.224931,0.144032,0.383717
059,0.155452,0.135538,0.307211
060,0.193946,0.129674,0.33577
061,0.217979,0.205185,0.234749
062,0.175199,0.108614,0.371227
063,0.222287,0.228006,0.197466
064,0.105619,0.037614,0.240638
065,0.163232,0.11927,0.198311
066,0.356297,0.443105,0.23648
067,0.205251,0.18265,0.303232
068,0.201665,0.140321,0.248021
069,0.15067,0.103631,0.283831
070,0.18067,0.022739,0.32444
071,0.39062,0.14114,0.3261
072,0.273011,0.154284,0.190417
073,0.263684,0.237814,0.22836
074,0.155294,0.101539,0.242877
075,0.464322,0.593177,0.272133
076,0.194248,0.167523,0.22142
077,1,0.857867,0.944872
078,0.244899,0.252503,0.262564
079,0.163525,0.142194,0.141646
080,0.180721,0.145716,0.161516
081,0.26744,0.190874,0.401518
082,0.224621,0.163117,0.151504
083,0.288847,0.117298,0.30529
084,0.089488,0.070646,0.12983
085,0.210916,0.187678,0.226995
086,0.415949,0.28759,0.448202
087,0.187713,0.119129,0.18742
088,0.269114,0.07152,0.208237
089,0.173157,0.130447,0.0577
090,0.173842,0.161419,0.212386
091,0.174666,0.122693,0.174808
092,0.631103,1,0.121569
093,0.105755,0.106179,0.17797
094,0.642886,0.469511,0.203718
095,0.126498,0.037238,0.10781
096,0.21872,0.165852,0.118033
097,0.254405,0.198841,0.101424
098,0.655423,0.490198,0.170986
099,0.296381,0.148494,0.070904
100,0.32073,0.184174,0.104703
101,0.312032,0.055928,0.081869
102,0.241934,0.085743,0
